v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,0.0,-4.04124e-47,-6.60067e-47,-4.0598e-47,1.470171e-46
0.01,0.01,0.0,0.0,0.0,-1.17006e-11,4.905594e-15,1.168566e-11,1.000202e-14
0.02,0.02,0.0,0.0,0.0,-2.0933e-11,1.062721e-14,2.090241e-11,2.00034e-14
0.03,0.03,0.0,0.0,0.0,-2.79793e-11,1.721436e-14,2.793209e-11,3.000433e-14
0.04,0.04,0.0,0.0,0.0,-3.33153e-11,2.471874e-14,3.325061e-11,4.000496e-14
0.05,0.05,0.0,0.0,0.0,-3.74873e-11,3.319431e-14,3.74041e-11,5.000539e-14
0.06,0.06,0.0,0.0,0.0,-4.09647e-11,4.269738e-14,4.086201e-11,6.000568e-14
0.07,0.07,0.0,0.0,0.0,-4.40727e-11,5.328671e-14,4.39494e-11,7.000588e-14
0.08,0.08,0.0,0.0,0.0,-4.70103e-11,6.50236e-14,4.686522e-11,8.000602e-14
0.09,0.09,0.0,0.0,0.0,-4.98943e-11,7.797201e-14,4.972631e-11,9.000611e-14
0.1,0.1,0.0,0.0,0.0,-5.27945e-11,9.219861e-14,5.260233e-11,1.000062e-13
0.11,0.11,0.0,0.0,0.0,-5.57547e-11,1.077729e-13,5.553691e-11,1.100062e-13
0.12,0.12,0.0,0.0,0.0,-5.8804e-11,1.247675e-13,5.855927e-11,1.200063e-13
0.13,0.13,0.0,0.0,0.0,-6.19638e-11,1.432578e-13,6.16905e-11,1.300063e-13
0.14,0.14,0.0,0.0,0.0,-6.52504e-11,1.633225e-13,6.494706e-11,1.400063e-13
0.15,0.15,0.0,0.0,0.0,-6.86777e-11,1.850438e-13,6.834268e-11,1.500063e-13
0.16,0.16,0.0,0.0,0.0,-7.22581e-11,2.085069e-13,7.188956e-11,1.600064e-13
0.17,0.17,0.0,0.0,0.0,-7.60028e-11,2.338009e-13,7.5599e-11,1.700064e-13
0.18,0.18,0.0,0.0,0.0,-7.99229e-11,2.610184e-13,7.948187e-11,1.800064e-13
0.19,0.19,0.0,0.0,0.0,-8.40291e-11,2.902559e-13,8.354888e-11,1.900064e-13
0.2,0.2,0.0,0.0,0.0,-8.83324e-11,3.216137e-13,8.781078e-11,2.000064e-13
0.21,0.21,0.0,0.0,0.0,-9.28437e-11,3.551963e-13,9.22785e-11,2.100064e-13
0.22,0.22,0.0,0.0,0.0,-9.75744e-11,3.911125e-13,9.696324e-11,2.200065e-13
0.23,0.23,0.0,0.0,0.0,-1.02536e-10,4.294753e-13,1.018766e-10,2.300065e-13
0.24,0.24,0.0,0.0,0.0,-1.07741e-10,4.704024e-13,1.070305e-10,2.400065e-13
0.25,0.25,0.0,0.0,0.0,-1.13201e-10,5.140162e-13,1.124373e-10,2.500065e-13
0.26,0.26,0.0,0.0,0.0,-1.18931e-10,5.604439e-13,1.181102e-10,2.600065e-13
0.27,0.27,0.0,0.0,0.0,-1.24942e-10,6.098178e-13,1.240626e-10,2.700066e-13
0.28,0.28,0.0,0.0,0.0,-1.31251e-10,6.622754e-13,1.303087e-10,2.800066e-13
0.29,0.29,0.0,0.0,0.0,-1.37871e-10,7.179599e-13,1.368633e-10,2.900066e-13
0.3,0.3,0.0,0.0,0.0,-1.44819e-10,7.770196e-13,1.437419e-10,3.000067e-13
0.31,0.31,0.0,0.0,0.0,-1.5211e-10,8.396091e-13,1.509606e-10,3.100067e-13
0.32,0.32,0.0,0.0,0.0,-1.59762e-10,9.058888e-13,1.585366e-10,3.200067e-13
0.33,0.33,0.0,0.0,0.0,-1.67794e-10,9.760254e-13,1.664876e-10,3.300068e-13
0.34,0.34,0.0,0.0,0.0,-1.76222e-10,1.050192e-12,1.748322e-10,3.400068e-13
0.35,0.35,0.0,0.0,0.0,-1.85069e-10,1.128568e-12,1.835901e-10,3.500068e-13
0.36,0.36,0.0,0.0,0.0,-1.94353e-10,1.211341e-12,1.927817e-10,3.600069e-13
0.37,0.37,0.0,0.0,0.0,-2.04097e-10,1.298705e-12,2.024287e-10,3.700069e-13
0.38,0.38,0.0,0.0,0.0,-2.14324e-10,1.39086e-12,2.125535e-10,3.80007e-13
0.39,0.39,0.0,0.0,0.0,-2.25058e-10,1.488016e-12,2.231799e-10,3.900071e-13
0.4,0.4,0.0,0.0,0.0,-2.36323e-10,1.590389e-12,2.343326e-10,4.000071e-13
0.41,0.41,0.0,0.0,0.0,-2.48146e-10,1.698206e-12,2.460378e-10,4.100072e-13
0.42,0.42,0.0,0.0,0.0,-2.60555e-10,1.811699e-12,2.583229e-10,4.200073e-13
0.43,0.43,0.0,0.0,0.0,-2.73578e-10,1.931111e-12,2.712164e-10,4.300073e-13
0.44,0.44,0.0,0.0,0.0,-2.87245e-10,2.056694e-12,2.847487e-10,4.400074e-13
0.45,0.45,0.0,0.0,0.0,-3.0159e-10,2.188708e-12,2.989513e-10,4.500075e-13
0.46,0.46,0.0,0.0,0.0,-3.16645e-10,2.327424e-12,3.138574e-10,4.600076e-13
0.47,0.47,0.0,0.0,0.0,-3.32445e-10,2.473124e-12,3.295019e-10,4.700077e-13
0.48,0.48,0.0,0.0,0.0,-3.49028e-10,2.626097e-12,3.459215e-10,4.800078e-13
0.49,0.49,0.0,0.0,0.0,-3.66431e-10,2.786647e-12,3.631548e-10,4.900079e-13
0.5,0.5,0.0,0.0,0.0,-3.84697e-10,2.955086e-12,3.812421e-10,5.00008e-13
0.51,0.51,0.0,0.0,0.0,-4.03868e-10,3.131739e-12,4.00226e-10,5.100082e-13
0.52,0.52,0.0,0.0,0.0,-4.23988e-10,3.316943e-12,4.201512e-10,5.200083e-13
0.53,0.53,0.0,0.0,0.0,-4.45106e-10,3.511047e-12,4.410647e-10,5.300085e-13
0.54,0.54,0.0,0.0,0.0,-4.6727e-10,3.714411e-12,4.630159e-10,5.400086e-13
0.55,0.55,0.0,0.0,0.0,-4.90534e-10,3.927412e-12,4.860568e-10,5.500088e-13
0.56,0.56,0.0,0.0,0.0,-5.14953e-10,4.150437e-12,5.102421e-10,5.600089e-13
0.57,0.57,0.0,0.0,0.0,-5.40583e-10,4.383889e-12,5.356294e-10,5.700091e-13
0.58,0.58,0.0,0.0,0.0,-5.67487e-10,4.628185e-12,5.622793e-10,5.800093e-13
0.59,0.59,0.0,0.0,0.0,-5.95729e-10,4.883757e-12,5.902554e-10,5.900095e-13
0.6,0.6,0.0,0.0,0.0,-6.25376e-10,5.151054e-12,6.19625e-10,6.000098e-13
