v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,1.1,1.1,0.0001838862,8.238436e-10,-0.000183886,-8.25874e-10
0.01,0.01,0.0,1.1,1.1,0.0001829189,8.075248e-10,-0.000182919,-8.09524e-10
0.02,0.02,0.0,1.1,1.1,0.0001819775,7.917156e-10,-0.000181978,-7.93685e-10
0.03,0.03,0.0,1.1,1.1,0.0001810402,7.760297e-10,-0.00018104,-7.77969e-10
0.04,0.04,0.0,1.1,1.1,0.0001801121,7.605922e-10,-0.000180112,-7.62501e-10
0.05,0.05,0.0,1.1,1.1,0.000179192,7.454005e-10,-0.000179192,-7.47279e-10
0.06,0.06,0.0,1.1,1.1,0.0001782786,7.304519e-10,-0.000178279,-7.32301e-10
0.07,0.07,0.0,1.1,1.1,0.0001773709,7.157436e-10,-0.000177371,-7.17563e-10
0.08,0.08,0.0,1.1,1.1,0.0001764678,7.012731e-10,-0.000176468,-7.03063e-10
0.09,0.09,0.0,1.1,1.1,0.0001755684,6.870378e-10,-0.000175568,-6.88799e-10
0.1,0.1,0.0,1.1,1.1,0.000174672,6.730349e-10,-0.000174672,-6.74767e-10
0.11,0.11,0.0,1.1,1.1,0.0001737778,6.592619e-10,-0.000173778,-6.60965e-10
0.12,0.12,0.0,1.1,1.1,0.0001728851,6.457161e-10,-0.000172885,-6.4739e-10
0.13,0.13,0.0,1.1,1.1,0.0001719935,6.323951e-10,-0.000171993,-6.34041e-10
0.14,0.14,0.0,1.1,1.1,0.0001711022,6.192963e-10,-0.000171102,-6.20914e-10
0.15,0.15,0.0,1.1,1.1,0.000170211,6.06417e-10,-0.000170211,-6.08006e-10
0.16,0.16,0.0,1.1,1.1,0.0001693194,5.937548e-10,-0.000169319,-5.95316e-10
0.17,0.17,0.0,1.1,1.1,0.000168427,5.813072e-10,-0.000168427,-5.8284e-10
0.18,0.18,0.0,1.1,1.1,0.0001675335,5.690715e-10,-0.000167533,-5.70577e-10
0.19,0.19,0.0,1.1,1.1,0.0001666385,5.570455e-10,-0.000166639,-5.58523e-10
0.2,0.2,0.0,1.1,1.1,0.0001657419,5.452264e-10,-0.000165742,-5.46677e-10
0.21,0.21,0.0,1.1,1.1,0.0001648433,5.33612e-10,-0.000164843,-5.35035e-10
0.22,0.22,0.0,1.1,1.1,0.0001639424,5.221997e-10,-0.000163942,-5.23596e-10
0.23,0.23,0.0,1.1,1.1,0.000163039,5.109871e-10,-0.000163039,-5.12357e-10
0.24,0.24,0.0,1.1,1.1,0.0001621329,4.999717e-10,-0.000162133,-5.01315e-10
0.25,0.25,0.0,1.1,1.1,0.0001612238,4.891512e-10,-0.000161224,-4.90468e-10
