v(gate1),v(gate2),v(drain1),v(alimd),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),total
0.0,0.1,0.1891275,1.1,-4.89999e-11,1.356693e-11,1.289147e-12,-3.41438e-11,1.171793e-13,3.38375e-11,1.891311e-13,-3.41438e-11,8.31437e-11
0.0,0.2,0.2508945,1.1,-5.65875e-11,8.834156e-12,1.350935e-12,-4.64025e-11,2.110585e-13,4.594058e-11,2.508982e-13,-4.64025e-11,1.0299e-10
0.0,0.3,0.3132565,1.1,-7.0105e-11,5.629497e-12,1.413333e-12,-6.30623e-11,3.506882e-13,6.23984e-11,3.132603e-13,-6.30623e-11,1.3316729999999998e-10
0.0,0.4,0.3761312,1.1,-9.07463e-11,3.491429e-12,1.476265e-12,-8.57783e-11,5.518843e-13,8.48503e-11,3.761351e-13,-8.57783e-11,1.765246e-10
0.0,0.5,0.4394557,1.1,-1.20436e-10,2.092548e-12,1.539676e-12,-1.16804e-10,8.350611e-13,1.155292e-10,4.394598e-13,-1.16804e-10,2.3724e-10
0.0,0.6,0.5031761,1.1,-1.6203e-10,1.198597e-12,1.603526e-12,-1.59229e-10,1.226413e-12,1.57499e-10,5.031804e-13,-1.59229e-10,1.6042759699999998e-10
0.0,0.7,0.5672432,1.1,-2.19627e-10,6.443734e-13,1.667781e-12,-2.17315e-10,1.759375e-12,2.149886e-10,5.67248e-13,-2.17315e-10,2.179593734e-10
0.0,0.8,0.6316107,1.1,-2.9903e-10,3.13527e-13,1.732416e-12,-2.96983e-10,2.476405e-12,2.938753e-10,6.31616e-13,-2.96983e-10,2.97296527e-10
0.0,0.9,0.6962337,1.1,-4.08441e-10,1.221245e-13,1.797412e-12,-4.06522e-10,3.431163e-12,4.023945e-10,6.962399e-13,-4.06522e-10,4.066441245e-10
0.0,1.0,0.7610676,1.1,-5.59509e-10,1.776357e-14,1.862761e-12,-5.57628e-10,4.691141e-12,5.521756e-10,7.610752e-13,-5.57628e-10,5.576457635699999e-10
0.0,1.1,0.8260634,1.1,-7.68798e-10,-3.37508e-14,1.928457e-12,-7.66904e-10,6.340704e-12,7.597372e-10,8.260729e-13,-7.66904e-10,7.669377508e-10
0.1,0.0,0.06968369,1.1,-2.51318e-10,2.043537e-11,1.187862e-12,-2.29695e-10,-9.76996e-15,2.296351e-10,6.969889e-14,-2.29695e-10,4.81013e-10
0.1,0.1,0.1298121,1.1,-3.37024e-10,1.354267e-11,1.229848e-12,-3.22252e-10,1.387779e-15,3.221203e-10,1.298277e-13,-3.22252e-10,6.59276e-10
0.1,0.2,0.191399,1.1,-4.49015e-10,8.818724e-12,1.291443e-12,-4.38905e-10,2.68674e-14,4.386864e-10,1.91415e-13,-4.38905e-10,8.8792e-10
0.1,0.3,0.2536875,1.1,-6.02613e-10,5.621059e-12,1.353768e-12,-5.95638e-10,7.321921e-14,5.953113e-10,2.537042e-13,-5.95638e-10,1.198251e-09
0.1,0.4,0.3165245,1.1,-8.13057e-10,3.489209e-12,1.416663e-12,-8.08151e-10,1.486034e-13,8.076858e-10,3.165421e-13,-8.08151e-10,1.6212079999999998e-09
0.1,0.5,0.37983,1.1,-1.10054e-09,2.093437e-12,1.480058e-12,-1.09697e-09,2.638445e-13,1.096325e-09,3.798491e-13,-1.09697e-09,2.19751e-09
0.1,0.6,0.4435415,1.1,-1.49249e-09,1.202149e-12,1.5439e-12,-1.48975e-09,4.333756e-13,1.48887e-09,4.435629e-13,-1.48975e-09,1.490952149e-09
0.1,0.7,0.5076075,1.1,-2.02625e-09,6.42153e-13,1.608156e-12,-2.024e-09,6.755152e-13,2.022819e-09,5.076324e-13,-2.024e-09,2.024642153e-09
0.1,0.8,0.5719754,1.1,-2.75274e-09,3.010925e-13,1.672794e-12,-2.75076e-09,1.014078e-12,2.749175e-09,5.720055e-13,-2.75076e-09,2.7510610925000003e-09
0.1,0.9,0.6365974,1.1,-3.74174e-09,1.021405e-13,1.737793e-12,-3.7399e-09,1.479039e-12,3.737788e-09,6.366352e-13,-3.7399e-09,3.7400021405e-09
0.1,1.0,0.7014246,1.1,-5.08945e-09,-8.88178e-15,1.803139e-12,-5.08766e-09,2.10898e-12,5.084848e-09,7.014737e-13,-5.08766e-09,5.08766888178e-09
0.1,1.1,0.7664053,1.1,-6.92907e-09,-7.01661e-14,1.868827e-12,-6.92727e-09,2.951805e-12,6.923551e-09,7.664709e-13,-6.92727e-09,6.9273401661e-09
0.2,0.0,0.02085014,1.1,-1.43251e-09,2.041834e-11,1.141323e-12,-1.41095e-09,-1.02141e-14,1.410936e-09,2.088538e-14,-1.41095e-09,2.84346e-09
0.2,0.1,0.0706405,1.1,-2.88263e-09,1.353156e-11,1.171757e-12,-2.86793e-09,-1.06581e-14,2.86787e-09,7.067813e-14,-2.86793e-09,5.75056e-09
0.2,0.2,0.1313387,1.1,-4.01087e-09,8.814061e-12,1.23158e-12,-4.00082e-09,-1.31006e-14,4.000706e-09,1.313793e-13,-4.00082e-09,8.01169e-09
0.2,0.3,0.1934391,1.1,-5.42371e-09,5.621281e-12,1.293561e-12,-5.4168e-09,-8.32667e-15,5.416613e-09,1.934844e-13,-5.4168e-09,1.084051e-08
0.2,0.4,0.2561855,1.1,-7.30347e-09,3.493206e-12,1.356377e-12,-7.29862e-09,8.881784e-15,7.298354e-09,2.562383e-13,-7.29862e-09,1.460209e-08
