v(gate1),v(gate2),v(drain1),v(alimd),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),max_leak_1,max_leak_2,prev_leakage_1,prev_leakage_2
0.0,0.1,0.8604361,0.0,1.448715e-05,4.1811e-13,-1.83442e-12,1.448715e-05,2.042606e-11,-1.44872e-05,-2.06652e-11,1.448715e-05,1.44872e-05,1.448715e-05,1.244041e-05,1.923074e-05
0.0,0.2,0.8976641,0.0,1.256491e-05,1.375566e-13,-1.51437e-12,1.256491e-05,1.847189e-11,-1.25649e-05,-1.86733e-11,1.256491e-05,1.256491e-05,1.256491e-05,1.244041e-05,1.46147e-05
0.0,0.3,0.9331786,0.0,1.062165e-05,4.263256e-14,-1.37873e-12,1.062165e-05,1.676811e-11,-1.06216e-05,-1.69336e-11,1.062165e-05,1.062165e-05,1.062165e-05,1.244041e-05,1.016455e-05
0.0,0.4,0.9669484,0.0,8.672836e-06,1.287859e-14,-1.30559e-12,8.672835e-06,1.528283e-11,-8.67283e-06,-1.54144e-11,8.672835e-06,8.672835e-06,8.672836e-06,6.66835e-06,1.197712e-05
0.0,0.5,1.1,1.1,-2.6309e-16,1.332268e-15,-9.4369e-16,-2.16755e-16,1.053686e-11,-1.81034e-15,-1.05348e-11,-2.16755e-16,1.053686e-11,1.332268e-15,1.053686e-11,1.332268e-15
0.0,0.6,1.1,1.1,-1.08323e-16,4.440892e-16,-1.94289e-16,-9.40427e-17,1.053686e-11,-1.93306e-15,-1.05348e-11,-9.40427e-17,1.053686e-11,4.440892e-16,1.053686e-11,8.881784e-16
0.0,0.7,1.1,1.1,-2.14489e-17,4.440892e-16,0.0,-1.68283e-17,1.053686e-11,-2.01028e-15,-1.05348e-11,-1.68283e-17,1.053686e-11,4.440892e-16,1.053686e-11,1.11022e-16
0.0,0.8,1.1,1.1,-2.54144e-18,4.440892e-16,-1.11022e-16,-1.1722e-18,1.053686e-11,-2.02593e-15,-1.05348e-11,-1.1722e-18,1.053686e-11,4.440892e-16,1.053686e-11,4.440892e-16
0.0,0.9,1.1,1.1,-2.2213e-19,-4.44089e-16,-5.55112e-17,-4.01971e-20,1.053686e-11,-2.02707e-15,-1.05348e-11,-4.01971e-20,1.053686e-11,4.44089e-16,1.053686e-11,4.44089e-16
0.0,1.0,1.1,1.1,-2.38557e-19,0.0,-5.55112e-17,-8.89175e-20,1.053686e-11,-2.02699e-15,-1.05348e-11,-8.89175e-20,1.053686e-11,5.55112e-17,1.053686e-11,5.55112e-17
0.0,1.1,1.1,1.1,-4.31651e-21,-8.88178e-16,-5.55112e-17,-4.32919e-21,1.053686e-11,-2.02708e-15,-1.05348e-11,-4.32919e-21,1.053686e-11,8.88178e-16,1.053686e-11,8.88178e-16
0.1,0.0,0.8040412,0.0,1.515325e-05,8.507442e-13,-2.31606e-12,1.515325e-05,4.293899e-12,-1.51532e-05,-4.59166e-12,1.515325e-05,1.515325e-05,1.515325e-05,1.53063e-05,1.767601e-05
0.1,0.1,0.8458135,0.0,1.349009e-05,3.114731e-13,-1.73669e-12,1.349009e-05,3.799738e-12,-1.34901e-05,-4.05465e-12,1.349009e-05,1.34901e-05,1.349009e-05,1.53063e-05,1.312574e-05
0.1,0.2,0.8857947,0.0,1.175755e-05,1.081357e-13,-1.49203e-12,1.175754e-05,3.378187e-12,-1.17575e-05,-3.5924e-12,1.175754e-05,1.175754e-05,1.175755e-05,1.110831e-05,1.46147e-05
0.1,0.3,0.9237665,0.0,9.982076e-06,3.552714e-14,-1.3764e-12,9.982075e-06,3.019862e-12,-9.98207e-06,-3.19578e-12,9.982075e-06,9.982075e-06,9.982076e-06,1.110831e-05,1.016455e-05
0.1,0.4,0.9597114,0.0,8.182214e-06,1.065814e-14,-1.30776e-12,8.182213e-06,2.714717e-12,-8.18221e-06,-2.85438e-12,8.182213e-06,8.182213e-06,8.182214e-06,6.023992e-06,1.197712e-05
0.1,0.5,1.1,1.1,-1.62652e-16,1.332268e-15,-9.4369e-16,-1.1632e-16,1.785572e-12,-9.62244e-16,-1.78446e-12,-1.1632e-16,1.785572e-12,1.332268e-15,1.785572e-12,1.332268e-15
0.1,0.6,1.1,1.1,-6.59063e-17,4.440892e-16,-1.94289e-16,-5.16255e-17,1.785627e-12,-1.02688e-15,-1.78446e-12,-5.16255e-17,1.785627e-12,4.440892e-16,1.785572e-12,8.881784e-16
0.1,0.7,1.1,1.1,-1.34638e-17,4.440892e-16,0.0,-8.84332e-18,1.785627e-12,-1.06966e-15,-1.78446e-12,-8.84332e-18,1.785627e-12,4.440892e-16,1.785572e-12,1.11022e-16
0.1,0.8,1.1,1.1,-1.767e-18,4.440892e-16,-5.55112e-17,-3.97739e-19,1.785627e-12,-1.07813e-15,-1.78446e-12,-3.97739e-19,1.785627e-12,4.440892e-16,1.785572e-12,4.440892e-16
0.1,0.9,1.1,1.1,-1.67405e-19,-4.44089e-16,-5.55112e-17,1.453614e-20,1.785627e-12,-1.07853e-15,-1.78446e-12,1.453614e-20,1.785627e-12,4.44089e-16,1.785572e-12,4.44089e-16
0.1,1.0,1.1,1.1,-2.98624e-19,0.0,-5.55112e-17,-1.48974e-19,1.785516e-12,-1.07841e-15,-1.78446e-12,-1.48974e-19,1.785516e-12,5.55112e-17,1.785572e-12,5.55112e-17
0.1,1.1,1.1,1.1,-3.29213e-21,-8.88178e-16,-5.55112e-17,-3.29853e-21,1.785516e-12,-1.07848e-15,-1.78446e-12,-3.29853e-21,1.785516e-12,8.88178e-16,1.785572e-12,8.88178e-16
0.2,0.0,0.7788952,0.0,1.346798e-05,5.131105e-13,-1.99532e-12,1.346798e-05,7.484013e-13,-1.3468e-05,-1.07359e-12,1.346798e-05,1.3468e-05,1.346798e-05,1.28695e-05,1.767601e-05
0.2,0.1,0.8251327,0.0,1.210778e-05,2.050582e-13,-1.64332e-12,1.210778e-05,6.509238e-13,-1.21078e-05,-9.2773e-13,1.210778e-05,1.21078e-05,1.210778e-05,1.28695e-05,1.312574e-05
0.2,0.2,0.8690879,0.0,1.064377e-05,7.71605e-14,-1.47077e-12,1.064377e-05,5.697665e-13,-1.06438e-05,-8.01692e-13,1.064377e-05,1.06438e-05,1.064377e-05,9.51124e-06,1.46147e-05
0.2,0.3,0.9105719,0.0,9.104042e-06,2.708944e-14,-1.37554e-12,9.104041e-06,5.023759e-13,-9.10404e-06,-6.92113e-13,9.104041e-06,9.104041e-06,9.104042e-06,9.51124e-06,1.016455e-05
0.2,0.4,0.9495953,0.0,7.511672e-06,8.881784e-15,-1.31112e-12,7.51167e-06,4.457545e-13,-7.51167e-06,-5.96384e-13,7.51167e-06,7.51167e-06,7.511672e-06,9.51124e-06,6.01376e-06
0.2,0.5,1.1,1.1,-1.04485e-16,1.332268e-15,-9.4369e-16,-5.815e-17,2.815526e-13,-4.93684e-16,-2.81219e-13,-5.815e-17,2.815526e-13,1.332268e-15,2.815526e-13,1.332268e-15
0.2,0.6,1.1,1.1,-4.1135e-17,4.440892e-16,-1.94289e-16,-2.68543e-17,2.815526e-13,-5.24973e-16,-2.81219e-13,-2.68543e-17,2.815526e-13,4.440892e-16,2.815526e-13,8.881784e-16
0.2,0.7,1.1,1.1,-8.78255e-18,4.440892e-16,0.0,-4.16189e-18,2.815526e-13,-5.47657e-16,-2.81219e-13,-4.16189e-18,2.815526e-13,4.440892e-16,2.815526e-13,1.11022e-16
0.2,0.8,1.1,1.1,-1.31239e-18,4.440892e-16,-5.55112e-17,5.684791e-20,2.815526e-13,-5.51893e-16,-2.81219e-13,5.684791e-20,2.815526e-13,4.440892e-16,2.815526e-13,4.440892e-16
0.2,0.9,1.1,1.1,-1.35265e-19,-4.44089e-16,-5.55112e-17,4.668133e-20,2.815526e-13,-5.51849e-16,-2.81219e-13,4.668133e-20,2.815526e-13,4.44089e-16,2.815526e-13,4.44089e-16
0.2,1.0,1.1,1.1,-3.52336e-19,0.0,-5.55112e-17,-2.02673e-19,2.817746e-13,-5.51653e-16,-2.81192e-13,-2.02673e-19,2.817746e-13,5.55112e-17,2.815526e-13,5.55112e-17
0.2,1.1,1.1,1.1,-5.97407e-21,-8.88178e-16,-5.55112e-17,-5.97301e-21,2.817746e-13,-5.51815e-16,-2.81192e-13,-5.97301e-21,2.817746e-13,8.88178e-16,2.815526e-13,8.88178e-16
0.3,0.0,0.7420073,0.0,1.108e-05,2.432996e-13,-1.75085e-12,1.108e-05,1.290079e-13,-1.108e-05,-4.95132e-13,1.108e-05,1.108e-05,1.108e-05,1.177443e-05,1.17791e-05
0.3,0.1,0.7942923,0.0,1.011452e-05,1.0969e-13,-1.56791e-12,1.011451e-05,1.099121e-13,-1.01145e-05,-4.20164e-13,1.011451e-05,1.011451e-05,1.011452e-05,9.99977e-06,1.312574e-05
0.3,0.2,0.8441298,0.0,9.034437e-06,4.62963e-14,-1.45525e-12,9.034436e-06,9.436896e-14,-9.03444e-06,-3.52607e-13,9.034436e-06,9.03444e-06,9.034437e-06,9.99977e-06,8.762784e-06
0.3,0.3,0.8909149,0.0,7.839903e-06,1.820766e-14,-1.37795e-12,7.839902e-06,8.171241e-14,-7.8399e-06,-2.91989e-13,7.839902e-06,7.839902e-06,7.839903e-06,7.585851e-06,1.016455e-05
0.3,0.4,0.9345654,0.0,6.55085e-06,6.217249e-15,-1.31714e-12,6.550849e-06,7.149836e-14,-6.55085e-06,-2.37449e-13,6.550849e-06,6.55085e-06,6.55085e-06,7.585851e-06,6.01376e-06
0.3,0.5,1.1,1.1,-7.16288e-17,1.332268e-15,-9.4369e-16,-2.5297e-17,4.307665e-14,-2.41952e-16,-4.27713e-14,-2.5297e-17,4.307665e-14,1.332268e-15,4.307665e-14,1.332268e-15
0.3,0.6,1.1,1.1,-2.69247e-17,4.440892e-16,-1.94289e-16,-1.26423e-17,4.307665e-14,-2.54607e-16,-4.27713e-14,-1.26423e-17,4.307665e-14,4.440892e-16,4.307665e-14,8.881784e-16
0.3,0.7,1.1,1.1,-6.08118e-18,4.440892e-16,0.0,-1.46051e-18,4.307665e-14,-2.65785e-16,-4.27713e-14,-1.46051e-18,4.307665e-14,4.440892e-16,4.307665e-14,1.11022e-16
0.3,0.8,1.1,1.1,-1.04968e-18,4.440892e-16,-5.55112e-17,3.195783e-19,4.307665e-14,-2.67572e-16,-4.27713e-14,3.195783e-19,4.307665e-14,4.440892e-16,4.307665e-14,4.440892e-16
0.3,0.9,1.1,1.1,-1.16682e-19,-4.44089e-16,-5.55112e-17,6.526409e-20,4.307665e-14,-2.67304e-16,-4.27713e-14,6.526409e-20,4.307665e-14,4.44089e-16,4.307665e-14,4.44089e-16
0.3,1.0,1.1,1.1,-1.10015e-18,0.0,-5.55112e-17,-9.50394e-19,4.285461e-14,-2.66302e-16,-4.27713e-14,-9.50394e-19,4.285461e-14,5.55112e-17,4.307665e-14,5.55112e-17
0.3,1.1,1.1,1.1,-7.07073e-20,-8.88178e-16,-5.55112e-17,-7.05861e-20,4.285461e-14,-2.67211e-16,-4.27436e-14,-7.05861e-20,4.285461e-14,8.88178e-16,4.307665e-14,8.88178e-16
0.4,0.0,0.6932684,0.0,8.113599e-06,9.028974e-14,-1.63278e-12,8.113597e-06,2.220446e-14,-8.1136e-06,-4.42035e-13,8.113597e-06,8.1136e-06,8.113599e-06,8.03154e-06,1.17791e-05
0.4,0.1,0.7498956,0.0,7.418672e-06,4.440892e-14,-1.53272e-12,7.418671e-06,1.887379e-14,-7.41867e-06,-3.77504e-13,7.418671e-06,7.418671e-06,7.418672e-06,8.03154e-06,7.56509e-06
0.4,0.2,0.805676,0.0,6.706994e-06,2.131628e-14,-1.45461e-12,6.706993e-06,1.554312e-14,-6.70699e-06,-3.15137e-13,6.706993e-06,6.706993e-06,6.706994e-06,6.78177e-06,8.762784e-06
0.4,0.3,0.8595301,0.0,5.948086e-06,9.769963e-15,-1.38836e-12,5.948084e-06,1.376677e-14,-5.94808e-06,-2.56406e-13,5.948084e-06,5.948084e-06,5.948086e-06,5.28535e-06,1.016455e-05
