v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.04124e-47,-6.60067e-47,-4.05980e-47,1.470171e-46
1.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-5.27945e-11,9.219861e-14,5.260233e-11,1.000062e-13
2.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-8.83324e-11,3.216137e-13,8.781078e-11,2.000064e-13
3.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-1.44819e-10,7.770196e-13,1.437419e-10,3.000067e-13
4.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.36323e-10,1.590389e-12,2.343326e-10,4.000071e-13
5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-3.84697e-10,2.955086e-12,3.812421e-10,5.000080e-13
6.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-6.25376e-10,5.151054e-12,6.196250e-10,6.000098e-13
7.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-1.01685e-09,8.579554e-12,1.007573e-09,7.000129e-13
8.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-1.65763e-09,1.381088e-11,1.643022e-09,8.000187e-13
9.000000e-01,9.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.71663e-09,2.164968e-11,2.694078e-09,9.000290e-13
1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.48731e-09,3.322403e-11,4.453090e-09,1.000665e-12
1.100000e+00,1.100000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.48354e-09,5.010660e-11,7.432278e-09,1.158419e-12
1.200000e+00,1.200000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.26273e-08,7.447910e-11,1.253098e-08,2.184175e-11
0.000000e+00,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00,1.369669e-14,-2.74225e-14,1.369669e-14,2.884698e-17
1.000000e-01,1.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,-6.76825e-10,-1.37390e-14,6.767384e-10,1.000354e-13
2.000000e-01,2.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,-1.12545e-09,7.843726e-14,1.125169e-09,2.000370e-13
3.000000e-01,3.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,-1.83333e-09,3.078926e-13,1.832721e-09,3.000399e-13
4.000000e-01,4.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,-2.97069e-09,7.632783e-13,2.969527e-09,4.000459e-13
5.000000e-01,5.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,-4.79705e-09,1.576655e-12,4.794970e-09,5.000574e-13
6.000000e-01,6.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,-7.72508e-09,2.941369e-12,7.721542e-09,6.000787e-13
7.000000e-01,7.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,-1.24209e-08,5.137335e-12,1.241508e-08,7.001174e-13
8.000000e-01,8.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,-1.99779e-08,8.565815e-12,1.996854e-08,8.001864e-13
9.000000e-01,9.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,-3.22161e-08,1.379716e-11,3.220140e-08,9.003070e-13
1.000000e+00,1.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00,-5.21894e-08,2.163594e-11,5.216678e-08,1.007666e-12
1.100000e+00,1.100000e+00,1.000000e-01,0.000000e+00,0.000000e+00,-8.50273e-08,3.321030e-11,8.499271e-08,1.351077e-12
1.200000e+00,1.200000e+00,1.000000e-01,0.000000e+00,0.000000e+00,-1.39297e-07,5.009287e-11,1.392406e-07,6.118850e-12
0.000000e+00,0.000000e+00,2.000000e-01,0.000000e+00,0.000000e+00,1.717390e-14,-3.44169e-14,1.717390e-14,8.136723e-17
1.000000e-01,1.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,-8.36972e-09,-3.09197e-14,8.369653e-09,1.000930e-13
2.000000e-01,2.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,-1.37394e-08,-1.72085e-14,1.373926e-08,2.001101e-13
3.000000e-01,3.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,-2.20353e-08,7.499557e-14,2.203492e-08,3.001457e-13
4.000000e-01,4.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,-3.50439e-08,3.044232e-13,3.504318e-08,4.002152e-13
5.000000e-01,5.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,-5.53397e-08,7.598366e-13,5.533848e-08,5.003446e-13
6.000000e-01,6.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,-8.67932e-08,1.573131e-12,8.679101e-08,6.005774e-13
7.000000e-01,7.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,-1.35281e-07,2.937872e-12,1.352777e-07,7.009841e-13
8.000000e-01,8.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,-2.09837e-07,5.133782e-12,2.098315e-07,8.016760e-13
9.000000e-01,9.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,-3.24457e-07,8.562318e-12,3.244471e-07,9.028242e-13
1.000000e+00,1.000000e+00,2.000000e-01,0.000000e+00,0.000000e+00,-5.00791e-07,1.379363e-11,5.007766e-07,1.066382e-12
1.100000e+00,1.100000e+00,2.000000e-01,0.000000e+00,0.000000e+00,-7.71929e-07,2.163242e-11,7.719043e-07,3.134665e-12
1.200000e+00,1.200000e+00,2.000000e-01,0.000000e+00,0.000000e+00,-1.18726e-06,3.320683e-11,1.187187e-06,3.777925e-11
0.000000e+00,0.000000e+00,3.000000e-01,0.000000e+00,0.000000e+00,1.117441e-13,-2.23710e-13,1.117441e-13,1.715925e-16
1.000000e-01,1.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,-9.22558e-08,-1.29230e-13,9.225583e-08,1.002380e-13
2.000000e-01,2.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,-1.46580e-07,-1.25566e-13,1.465800e-07,2.004170e-13
3.000000e-01,3.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,-2.26294e-07,-1.11910e-13,2.262943e-07,3.007725e-13
4.000000e-01,4.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,-3.44571e-07,-1.98730e-14,3.445704e-07,4.014267e-13
5.000000e-01,5.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,-5.17988e-07,2.097211e-13,5.179877e-07,5.025698e-13
6.000000e-01,6.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,-7.68521e-07,6.650236e-13,7.685200e-07,6.044843e-13
7.000000e-01,7.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,-1.12518e-06,1.478373e-12,1.125181e-06,7.075709e-13
8.000000e-01,8.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,-1.62616e-06,2.843170e-12,1.626152e-06,8.123678e-13
9.000000e-01,9.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,-2.32123e-06,5.038969e-12,2.321227e-06,9.195542e-13
1.000000e+00,1.000000e+00,3.000000e-01,0.000000e+00,0.000000e+00,-3.27418e-06,8.467338e-12,3.274166e-06,1.256780e-12
1.100000e+00,1.100000e+00,3.000000e-01,0.000000e+00,0.000000e+00,-4.56451e-06,1.369882e-11,4.564485e-06,8.193645e-12
1.200000e+00,1.200000e+00,3.000000e-01,0.000000e+00,0.000000e+00,-6.28839e-06,2.153766e-11,6.288253e-06,1.154459e-10
0.000000e+00,0.000000e+00,4.000000e-01,0.000000e+00,0.000000e+00,3.248403e-13,-6.50258e-13,3.248403e-13,3.482408e-16
1.000000e-01,1.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,-7.91047e-07,-4.39759e-13,7.910473e-07,1.008335e-13
2.000000e-01,2.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,-1.18725e-06,-3.45168e-13,1.187254e-06,2.022039e-13
3.000000e-01,3.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,-1.71044e-06,-3.41838e-13,1.710441e-06,3.046794e-13
4.000000e-01,4.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,-2.40736e-06,-3.28071e-13,2.407360e-06,4.087700e-13
5.000000e-01,5.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,-3.31211e-06,-2.35922e-13,3.312109e-06,5.151141e-13
6.000000e-01,6.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,-4.45256e-06,-6.77236e-15,4.452556e-06,6.244334e-13
7.000000e-01,7.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,-5.85155e-06,4.483081e-13,5.851553e-06,7.374749e-13
8.000000e-01,8.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,-7.53208e-06,1.261435e-12,7.532080e-06,8.549472e-13
9.000000e-01,9.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,-9.52520e-06,2.625899e-12,9.525198e-06,9.774661e-13
1.000000e+00,1.000000e+00,4.000000e-01,0.000000e+00,0.000000e+00,-1.18780e-05,4.821699e-12,1.187797e-05,1.240797e-12
1.100000e+00,1.100000e+00,4.000000e-01,0.000000e+00,0.000000e+00,-1.46590e-05,8.249734e-12,1.465898e-05,7.860298e-12
1.200000e+00,1.200000e+00,4.000000e-01,0.000000e+00,0.000000e+00,-1.79606e-05,1.348055e-11,1.796044e-05,1.110534e-10
0.000000e+00,0.000000e+00,5.000000e-01,0.000000e+00,0.000000e+00,8.443666e-13,-1.68954e-12,8.443666e-13,9.505198e-16
1.000000e-01,1.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,-4.28974e-06,-1.29008e-12,4.289743e-06,1.028238e-13
2.000000e-01,2.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,-5.95026e-06,-1.08336e-12,5.950257e-06,2.087316e-13
3.000000e-01,3.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,-7.66822e-06,-9.93872e-13,7.668223e-06,3.181235e-13
4.000000e-01,4.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,-9.59322e-06,-9.96536e-13,9.593224e-06,4.314362e-13
5.000000e-01,5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,-1.17242e-05,-9.89431e-13,1.172415e-05,5.492160e-13
6.000000e-01,6.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,-1.40427e-05,-9.04388e-13,1.404268e-05,6.719396e-13
7.000000e-01,7.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,-1.65341e-05,-6.83009e-13,1.653413e-05,7.999926e-13
8.000000e-01,8.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,-1.92027e-05,-2.36255e-13,1.920273e-05,9.336768e-13
9.000000e-01,9.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,-2.20831e-05,5.679901e-13,2.208311e-05,1.073227e-12
1.000000e+00,1.000000e+00,5.000000e-01,0.000000e+00,0.000000e+00,-2.52456e-05,1.922462e-12,2.524564e-05,1.218831e-12
1.100000e+00,1.100000e+00,5.000000e-01,0.000000e+00,0.000000e+00,-2.87955e-05,4.107381e-12,2.879552e-05,3.447383e-12
1.200000e+00,1.200000e+00,5.000000e-01,0.000000e+00,0.000000e+00,-3.28679e-05,7.523981e-12,3.286789e-05,4.752205e-11
0.000000e+00,0.000000e+00,6.000000e-01,0.000000e+00,0.000000e+00,2.318872e-12,-4.64206e-12,2.318872e-12,4.404712e-15
1.000000e-01,1.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,-1.14840e-05,-3.93752e-12,1.148404e-05,1.077461e-13
2.000000e-01,2.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,-1.59703e-05,-3.56493e-12,1.597035e-05,2.202004e-13
3.000000e-01,3.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,-1.89209e-05,-3.40172e-12,1.892092e-05,3.406421e-13
4.000000e-01,4.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,-2.17399e-05,-3.36087e-12,2.173987e-05,4.672092e-13
5.000000e-01,5.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,-2.45795e-05,-3.41527e-12,2.457951e-05,5.998808e-13
6.000000e-01,6.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,-2.74619e-05,-3.46301e-12,2.746188e-05,7.389296e-13
7.000000e-01,7.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,-3.03949e-05,-3.43570e-12,3.039489e-05,8.847042e-13
8.000000e-01,8.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,-3.34038e-05,-3.27494e-12,3.340379e-05,1.037612e-12
9.000000e-01,9.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,-3.65490e-05,-2.89213e-12,3.654905e-05,1.198138e-12
1.000000e+00,1.000000e+00,6.000000e-01,0.000000e+00,0.000000e+00,-3.99335e-05,-2.15561e-12,3.993349e-05,1.366872e-12
1.100000e+00,1.100000e+00,6.000000e-01,0.000000e+00,0.000000e+00,-4.36999e-05,-8.73523e-13,4.369988e-05,1.624285e-12
1.200000e+00,1.200000e+00,6.000000e-01,0.000000e+00,0.000000e+00,-4.80229e-05,1.234124e-12,4.802289e-05,1.376818e-11
0.000000e+00,0.000000e+00,7.000000e-01,0.000000e+00,0.000000e+00,5.115142e-12,-1.02576e-11,5.115142e-12,2.761931e-14
1.000000e-01,1.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,-1.78374e-05,-9.07918e-12,1.783744e-05,1.373973e-13
2.000000e-01,2.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,-2.74696e-05,-8.40750e-12,2.746963e-05,2.583460e-13
3.000000e-01,3.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,-3.20957e-05,-8.12750e-12,3.209571e-05,3.969863e-13
4.000000e-01,4.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,-3.55292e-05,-8.07465e-12,3.552920e-05,5.485881e-13
5.000000e-01,5.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,-3.87129e-05,-8.15503e-12,3.871295e-05,7.115981e-13
6.000000e-01,6.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,-4.18235e-05,-8.34088e-12,4.182353e-05,8.868557e-13
7.000000e-01,7.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,-4.49138e-05,-8.52984e-12,4.491384e-05,1.076003e-12
8.000000e-01,8.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,-4.80245e-05,-8.65641e-12,4.802447e-05,1.281275e-12
9.000000e-01,9.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,-5.12246e-05,-8.66418e-12,5.122462e-05,1.505563e-12
1.000000e+00,1.000000e+00,7.000000e-01,0.000000e+00,0.000000e+00,-5.46306e-05,-8.46834e-12,5.463061e-05,1.752562e-12
1.100000e+00,1.100000e+00,7.000000e-01,0.000000e+00,0.000000e+00,-5.84073e-05,-7.94143e-12,5.840730e-05,2.026968e-12
1.200000e+00,1.200000e+00,7.000000e-01,0.000000e+00,0.000000e+00,-6.27588e-05,-6.89582e-12,6.275882e-05,4.244553e-12
0.000000e+00,0.000000e+00,8.000000e-01,0.000000e+00,0.000000e+00,9.863119e-12,-1.99092e-11,9.863119e-12,1.830046e-13
1.000000e-01,1.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,-2.19455e-05,-1.80342e-11,2.194547e-05,3.377508e-13
2.000000e-01,2.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,-3.67426e-05,-1.68952e-11,3.674262e-05,5.139835e-13
3.000000e-01,3.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,-4.47697e-05,-1.63960e-11,4.476970e-05,7.265448e-13
4.000000e-01,4.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,-4.92668e-05,-1.63631e-11,4.926686e-05,9.814437e-13
5.000000e-01,5.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,-5.28463e-05,-1.66029e-11,5.284629e-05,1.278004e-12
6.000000e-01,6.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,-5.61619e-05,-1.70230e-11,5.616189e-05,1.622512e-12
7.000000e-01,7.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,-5.93781e-05,-1.76021e-11,5.937811e-05,2.025603e-12
8.000000e-01,8.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,-6.25631e-05,-1.82496e-11,6.256309e-05,2.501420e-12
9.000000e-01,9.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,-6.57879e-05,-1.89153e-11,6.578790e-05,3.068072e-12
1.000000e+00,1.000000e+00,8.000000e-01,0.000000e+00,0.000000e+00,-6.91685e-05,-1.95632e-11,6.916853e-05,3.748495e-12
1.100000e+00,1.100000e+00,8.000000e-01,0.000000e+00,0.000000e+00,-7.28789e-05,-2.01328e-11,7.287896e-05,4.571602e-12
1.200000e+00,1.200000e+00,8.000000e-01,0.000000e+00,0.000000e+00,-7.71443e-05,-2.05287e-11,7.714436e-05,5.573689e-12
0.000000e+00,0.000000e+00,9.000000e-01,0.000000e+00,0.000000e+00,1.754102e-11,-3.62699e-11,1.754102e-11,1.187937e-12
1.000000e-01,1.000000e-01,9.000000e-01,0.000000e+00,0.000000e+00,-2.46148e-05,-3.35669e-11,2.461484e-05,1.630747e-12
2.000000e-01,2.000000e-01,9.000000e-01,0.000000e+00,0.000000e+00,-4.32046e-05,-3.19889e-11,4.320460e-05,2.174177e-12
3.000000e-01,3.000000e-01,9.000000e-01,0.000000e+00,0.000000e+00,-5.55377e-05,-3.13987e-11,5.553777e-05,2.852838e-12
4.000000e-01,4.000000e-01,9.000000e-01,0.000000e+00,0.000000e+00,-6.23068e-05,-3.17351e-11,6.230685e-05,3.711013e-12
5.000000e-01,5.000000e-01,9.000000e-01,0.000000e+00,0.000000e+00,-6.66480e-05,-3.27576e-11,6.664808e-05,4.784424e-12
6.000000e-01,6.000000e-01,9.000000e-01,0.000000e+00,0.000000e+00,-7.02836e-05,-3.42932e-11,7.028362e-05,6.118340e-12
