v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.000000e+00,0.000000e+00,0.000000e+00,1.100000e+00,1.100000e+00,1.351711e-04,6.004284e-10,-1.35171e-04,-6.02215e-10
1.000000e-01,1.000000e-01,0.000000e+00,1.100000e+00,1.100000e+00,1.283677e-04,4.905170e-10,-1.28368e-04,-4.92057e-10
2.000000e-01,2.000000e-01,0.000000e+00,1.100000e+00,1.100000e+00,1.217864e-04,3.973684e-10,-1.21786e-04,-3.98675e-10
3.000000e-01,3.000000e-01,0.000000e+00,1.100000e+00,1.100000e+00,1.150725e-04,3.191384e-10,-1.15073e-04,-3.20225e-10
4.000000e-01,4.000000e-01,0.000000e+00,1.100000e+00,1.100000e+00,1.079839e-04,2.540777e-10,-1.07984e-04,-2.54959e-10
5.000000e-01,5.000000e-01,0.000000e+00,1.100000e+00,1.100000e+00,1.000362e-04,2.005278e-10,-1.00036e-04,-2.01224e-10
6.000000e-01,6.000000e-01,0.000000e+00,1.100000e+00,1.100000e+00,9.027141e-05,1.569239e-10,-9.02714e-05,-1.57464e-10
7.000000e-01,7.000000e-01,0.000000e+00,1.100000e+00,1.100000e+00,7.783470e-05,1.218033e-10,-7.78347e-05,-1.22216e-10
8.000000e-01,8.000000e-01,0.000000e+00,1.100000e+00,1.100000e+00,6.260668e-05,9.381897e-11,-6.26067e-05,-9.41200e-11
9.000000e-01,9.000000e-01,0.000000e+00,1.100000e+00,1.100000e+00,4.460559e-05,7.175193e-11,-4.46056e-05,-7.19477e-11
1.000000e+00,1.000000e+00,0.000000e+00,1.100000e+00,1.100000e+00,2.376966e-05,5.452146e-11,-2.37697e-05,-5.46147e-11
1.100000e+00,1.100000e+00,0.000000e+00,1.100000e+00,1.100000e+00,-3.96197e-15,4.118954e-11,-3.96205e-15,-4.11817e-11
1.200000e+00,1.200000e+00,0.000000e+00,1.100000e+00,1.100000e+00,-2.61208e-05,2.351317e-10,2.612077e-05,-2.35018e-10
0.000000e+00,0.000000e+00,1.000000e-01,1.100000e+00,1.100000e+00,1.182522e-04,1.492220e-10,-1.18252e-04,-1.50992e-10
1.000000e-01,1.000000e-01,1.000000e-01,1.100000e+00,1.100000e+00,1.112700e-04,1.163479e-10,-1.11270e-04,-1.17885e-10
2.000000e-01,2.000000e-01,1.000000e-01,1.100000e+00,1.100000e+00,1.049580e-04,9.002041e-11,-1.04958e-04,-9.13353e-11
3.000000e-01,3.000000e-01,1.000000e-01,1.100000e+00,1.100000e+00,9.873578e-05,6.915335e-11,-9.87358e-05,-7.02580e-11
4.000000e-01,4.000000e-01,1.000000e-01,1.100000e+00,1.100000e+00,9.237839e-05,5.277626e-11,-9.23784e-05,-5.36831e-11
5.000000e-01,5.000000e-01,1.000000e-01,1.100000e+00,1.100000e+00,8.564605e-05,4.004028e-11,-8.56461e-05,-4.07636e-11
6.000000e-01,6.000000e-01,1.000000e-01,1.100000e+00,1.100000e+00,7.796550e-05,3.021844e-11,-7.79655e-05,-3.07778e-11
7.000000e-01,7.000000e-01,1.000000e-01,1.100000e+00,1.100000e+00,6.824037e-05,2.270067e-11,-6.82404e-05,-2.31226e-11
8.000000e-01,8.000000e-01,1.000000e-01,1.100000e+00,1.100000e+00,5.568269e-05,1.698458e-11,-5.56827e-05,-1.72904e-11
9.000000e-01,9.000000e-01,1.000000e-01,1.100000e+00,1.100000e+00,4.017477e-05,1.266359e-11,-4.01748e-05,-1.28630e-11
1.000000e+00,1.000000e+00,1.000000e-01,1.100000e+00,1.100000e+00,2.165198e-05,9.413581e-12,-2.16520e-05,-9.51034e-12
1.100000e+00,1.100000e+00,1.000000e-01,1.100000e+00,1.100000e+00,-2.10799e-15,6.979750e-12,-2.10805e-15,-6.97559e-12
1.200000e+00,1.200000e+00,1.000000e-01,1.100000e+00,1.100000e+00,-2.44476e-05,4.818757e-11,2.444758e-05,-4.80803e-11
0.000000e+00,0.000000e+00,2.000000e-01,1.100000e+00,1.100000e+00,1.016564e-04,2.863682e-11,-1.01656e-04,-3.03681e-11
1.000000e-01,1.000000e-01,2.000000e-01,1.100000e+00,1.100000e+00,9.417742e-05,2.160405e-11,-9.41774e-05,-2.31149e-11
2.000000e-01,2.000000e-01,2.000000e-01,1.100000e+00,1.100000e+00,8.795040e-05,1.623096e-11,-8.79504e-05,-1.75325e-11
3.000000e-01,3.000000e-01,2.000000e-01,1.100000e+00,1.100000e+00,8.210618e-05,1.215023e-11,-8.21062e-05,-1.32534e-11
4.000000e-01,4.000000e-01,2.000000e-01,1.100000e+00,1.100000e+00,7.630647e-05,9.066914e-12,-7.63065e-05,-9.98274e-12
5.000000e-01,5.000000e-01,2.000000e-01,1.100000e+00,1.100000e+00,7.040084e-05,6.747713e-12,-7.04008e-05,-7.48759e-12
6.000000e-01,6.000000e-01,2.000000e-01,1.100000e+00,1.100000e+00,6.414201e-05,5.009826e-12,-6.41420e-05,-5.58714e-12
7.000000e-01,7.000000e-01,2.000000e-01,1.100000e+00,1.100000e+00,5.685628e-05,3.711975e-12,-5.68563e-05,-4.14452e-12
8.000000e-01,8.000000e-01,2.000000e-01,1.100000e+00,1.100000e+00,4.731064e-05,2.745415e-12,-4.73106e-05,-3.05561e-12
9.000000e-01,9.000000e-01,2.000000e-01,1.100000e+00,1.100000e+00,3.476038e-05,2.027378e-12,-3.47604e-05,-2.22919e-12
1.000000e+00,1.000000e+00,2.000000e-01,1.100000e+00,1.100000e+00,1.903570e-05,1.495026e-12,-1.90357e-05,-1.59381e-12
1.100000e+00,1.100000e+00,2.000000e-01,1.100000e+00,1.100000e+00,-1.07854e-15,1.101341e-12,-1.07864e-15,-1.09923e-12
1.200000e+00,1.200000e+00,2.000000e-01,1.100000e+00,1.100000e+00,-2.24087e-05,8.222589e-12,2.240866e-05,-8.11889e-12
0.000000e+00,0.000000e+00,3.000000e-01,1.100000e+00,1.100000e+00,8.549518e-05,4.704515e-12,-8.54952e-05,-6.37360e-12
1.000000e-01,1.000000e-01,3.000000e-01,1.100000e+00,1.100000e+00,7.729230e-05,3.499645e-12,-7.72923e-05,-4.96247e-12
2.000000e-01,2.000000e-01,3.000000e-01,1.100000e+00,1.100000e+00,7.096411e-05,2.598421e-12,-7.09641e-05,-3.86555e-12
3.000000e-01,3.000000e-01,3.000000e-01,1.100000e+00,1.100000e+00,6.539511e-05,1.926070e-12,-6.53951e-05,-3.00765e-12
4.000000e-01,4.000000e-01,3.000000e-01,1.100000e+00,1.100000e+00,6.006631e-05,1.425526e-12,-6.00663e-05,-2.33191e-12
5.000000e-01,5.000000e-01,3.000000e-01,1.100000e+00,1.100000e+00,5.479697e-05,1.053546e-12,-5.47970e-05,-1.79473e-12
6.000000e-01,6.000000e-01,3.000000e-01,1.100000e+00,1.100000e+00,4.948239e-05,7.777667e-13,-4.94824e-05,-1.36394e-12
7.000000e-01,7.000000e-01,3.000000e-01,1.100000e+00,1.100000e+00,4.387573e-05,5.734302e-13,-4.38757e-05,-1.01630e-12
8.000000e-01,8.000000e-01,3.000000e-01,1.100000e+00,1.100000e+00,3.720225e-05,4.224954e-13,-3.72023e-05,-7.37327e-13
9.000000e-01,9.000000e-01,3.000000e-01,1.100000e+00,1.100000e+00,2.807906e-05,3.108624e-13,-2.80791e-05,-5.14283e-13
1.000000e+00,1.000000e+00,3.000000e-01,1.100000e+00,1.100000e+00,1.575493e-05,2.287059e-13,-1.57549e-05,-3.28543e-13
1.100000e+00,1.100000e+00,3.000000e-01,1.100000e+00,1.100000e+00,-5.22281e-16,1.681433e-13,-5.22380e-16,-1.67116e-13
1.200000e+00,1.200000e+00,3.000000e-01,1.100000e+00,1.100000e+00,-1.98893e-05,1.289580e-12,1.988934e-05,-1.18794e-12
0.000000e+00,0.000000e+00,4.000000e-01,1.100000e+00,1.100000e+00,6.966809e-05,7.202017e-13,-6.96681e-05,-2.30574e-12
1.000000e-01,1.000000e-01,4.000000e-01,1.100000e+00,1.100000e+00,6.074999e-05,5.332401e-13,-6.07500e-05,-1.92713e-12
2.000000e-01,2.000000e-01,4.000000e-01,1.100000e+00,1.100000e+00,5.422863e-05,3.942402e-13,-5.42286e-05,-1.60669e-12
3.000000e-01,3.000000e-01,4.000000e-01,1.100000e+00,1.100000e+00,4.886096e-05,2.912115e-13,-4.88610e-05,-1.33185e-12
4.000000e-01,4.000000e-01,4.000000e-01,1.100000e+00,1.100000e+00,4.396987e-05,2.148282e-13,-4.39699e-05,-1.09335e-12
5.000000e-01,5.000000e-01,4.000000e-01,1.100000e+00,1.100000e+00,3.928239e-05,1.584288e-13,-3.92824e-05,-8.83793e-13
6.000000e-01,6.000000e-01,4.000000e-01,1.100000e+00,1.100000e+00,3.471680e-05,1.166844e-13,-3.47168e-05,-6.97775e-13
7.000000e-01,7.000000e-01,4.000000e-01,1.100000e+00,1.100000e+00,3.020851e-05,8.593126e-14,-3.02085e-05,-5.31436e-13
8.000000e-01,8.000000e-01,4.000000e-01,1.100000e+00,1.100000e+00,2.554171e-05,6.306067e-14,-2.55417e-05,-3.82638e-13
9.000000e-01,9.000000e-01,4.000000e-01,1.100000e+00,1.100000e+00,1.986407e-05,4.651834e-14,-1.98641e-05,-2.51438e-13
1.000000e+00,1.000000e+00,4.000000e-01,1.100000e+00,1.100000e+00,1.160556e-05,3.419487e-14,-1.16056e-05,-1.34726e-13
1.100000e+00,1.100000e+00,4.000000e-01,1.100000e+00,1.100000e+00,-2.32918e-16,2.520206e-14,-2.32966e-16,-2.49245e-14
1.200000e+00,1.200000e+00,4.000000e-01,1.100000e+00,1.100000e+00,-1.67270e-05,1.942890e-13,1.672700e-05,-9.37861e-14
0.000000e+00,0.000000e+00,5.000000e-01,1.100000e+00,1.100000e+00,5.381714e-05,1.056932e-13,-5.38171e-05,-1.58809e-12
1.000000e-01,1.000000e-01,5.000000e-01,1.100000e+00,1.100000e+00,4.456811e-05,7.827072e-14,-4.45681e-05,-1.38428e-12
